Ref,Val,Package,PosX,PosY,Rot,Side
"200K1","R_Potentiometer_Trim_US","Potentiometer_Bourns_TC33X_Vertical",122.600000,-108.800000,180.000000,top
"C0","4.7uF1","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",129.000000,-109.860000,180.000000,top
"C1","22uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",126.900000,-119.300000,0.000000,top
"C2","0.1uF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",122.900000,-114.800000,0.000000,top
"C3","22uf","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",126.900000,-122.800000,0.000000,top
"C4","0.1uF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",127.100000,-116.900000,0.000000,top
"C5","EMK316BBJ476ML-T","CAPC3216X180N",148.900000,-113.400000,180.000000,top
"C6","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",148.800000,-111.300000,0.000000,top
"C7","1uF","C_0201_0603Metric_Pad0.64x0.40mm_HandSolder",126.385000,-109.690000,-90.000000,top
"C8","22uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",135.100000,-119.500000,180.000000,top
"C9","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",138.900000,-119.900000,-90.000000,top
"C10","0.1uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",136.600000,-123.200000,-90.000000,top
"C11","22uF","C_1210_3225Metric_Pad1.33x2.70mm_HandSolder",132.600000,-123.000000,180.000000,top
"F1","9A Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",147.300000,-108.200000,180.000000,top
"F2","9A Fuse","Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder",121.600000,-121.100000,90.000000,top
"IC1","SIC431DED-T1-GE3","SIC431DEDT1GE3",126.965000,-113.510000,90.000000,top
"R1","1 Ω","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",122.900000,-116.000000,180.000000,top
"R2","10kΩ","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",127.965000,-108.332061,180.000000,top
"R3","51kΩ","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",121.100000,-112.040000,90.000000,top
"R4","51kΩ","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",121.185000,-114.402500,-90.000000,top
"R5","10 kΩ","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",119.400000,-111.100000,90.000000,top
"R6","10kΩ","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",126.000000,-107.700000,90.000000,top
"R7","10kΩ","R_0402_1005Metric_Pad0.72x0.64mm_HandSolder",131.000000,-118.600000,0.000000,top
