Component Count:,23,,,,,
,,,,,,
Item,Qty,Reference(s),Value,Component ID,,
1,1,200K1,200K,TC33X-2-204ECT-ND,,
2,1,C0,4.7uF,CL10B475KQ8NQNC,,
3,4,"C1,C3,C8,C11",22uF,CL32A226KAJNNNE,,
4,1,C2,0.1uF,GRM155C71H104JE19J,,
5,1,C4,0.1uF,0201S104K250CT,,
6,1,C5,47uF,EMK316BBJ476ML-T,,
7,3,"C6,C9,C10",0.1uF,C0805C104K5RAC7411,,
8,1,C7,1uF,CC0201KRX5R5BB105,,
9,2,"F1,F2",10A,C1H10,,
10,1,IC1,SIC431,SiC431AED-T1-GE3,,
11,1,R1,1R,RK73H1ETTP1R00F,,
12,4,"R2,R5,R6,R7",10K,CR0402AFX-1002GAS,,
13,2,"R3,R4",51K,RMC1/16S-513JTH,,
